county,Relation
Blekinge county,54413
Dalarna county,52834
Gotland county,941530
Gävleborg county,52832
Halland county,54403
Jämtland county,52826
Jönköping county,54374
Kalmar county,54417
Kronoberg county,54412
Norrbotten county,52824
Skåne county,54409
Stockholm county,54391
Södermanland county,54386
Uppsala county,54220
Värmland county,54223
Västerbotten county,52825
Västernorrland county,52827
Västmanland county,54221
Västra Götaland county,54367
Örebro county,54222
Östergötland county,940675
