kommun,Relation
Ale,935506
Alingsås,935547
Alvesta,935435
Aneby,935684
Arboga,935652
Arjeplog,935425
Arvidsjaur,935667
Arvika,935465
Askersund,935513
Avesta,312618
Bengtsfors,935491
Berg,935633
Bjurholm,935607
Bjuv,935478
Boden,935421
Bollebygd,935565
Bollnäs,296291
Borgholm,935406
Borlänge,307850
Borås,935544
Botkyrka,398626
Boxholm,935594
Bromölla,935659
Bräcke,935457
Burlöv,935642
Båstad,935399
Dals-Ed,935404
Danderyd,398034
Degerfors,935498
Dorotea,935438
Eda,935657
Ekerö,398920
Eksjö,935636
Emmaboda,935598
Enköping,308557
Eskilstuna,935569
Eslöv,935571
Essunga,935417
Fagersta,935504
Falkenberg,935411
Falköping,935600
Falun,300963
Filipstad,935619
Finspång,935444
Flen,935683
Forshaga,935539
Färgelanda,935431
Gagnef,307849
Gislaved,935604
Gnesta,935602
Gnosjö,935543
Gotland,1125739
Grums,935612
Grästorp,935415
Gullspång,935470
Gällivare,935446
Gävle,278620
Göteborg,935611
Götene,935419
Habo,935405
Hagfors,935638
Hallsberg,935572
Hallstahammar,935590
Halmstad,935442
Hammarö,1076755
Haninge,398625
Haparanda,935579
Heby,305452
Hedemora,300939
Helsingborg,935560
Herrljunga,935533
Hjo,935672
Hofors,289354
Huddinge,398567
Hudiksvall,935648
Hultsfred,935677
Hylte,935407
Håbo,308558
Hällefors,935486
Härjedalen,935534
Härnösand,935418
Härryda,935649
Hässleholm,935519
Höganäs,935552
Högsby,935487
Hörby,935623
Höör,935450
Jokkmokk,935630
Järfälla,398022
Jönköping,935495
Kalix,935474
Kalmar,935466
Karlsborg,935617
Karlshamn,935522
Karlskoga,935520
Karlskrona,935548
Karlstad,935514
Katrineholm,935400
Kil,935606
Kinda,935596
Kiruna,935541
Klippan,935658
Knivsta,397128
Kramfors,935445
Kristianstad,935448
Kristinehamn,935461
Krokom,935615
Kumla,935494
Kungsbacka,935626
Kungsör,935537
Kungälv,935505
Kävlinge,935625
Köping,935409
Laholm,935662
Landskrona,935414
Laxå,935605
Lekeberg,935673
Leksand,307848
Lerum,935550
Lessebo,935521
Lidingö,398035
Lidköping,935469
Lilla Edet,935526
Lindesberg,935557
Linköping,935467
Ljungby,935542
Ljusdal,935592
Ljusnarsberg,935563
Lomma,935410
Ludvika,57886
Luleå,935482
Lund,935666
Lycksele,935428
Lysekil,935549
Malmö,935416
Malung-Sälen,935398
Malå,935500
Mariestad,935422
Mark,935639
Markaryd,935621
Mellerud,935622
Mjölby,935507
Mora,304100
Motala,935668
Mullsjö,935634
Munkedal,935678
Munkfors,935501
Mölndal,935463
Mönsterås,935575
Mörbylånga,935518
Nacka,398038
Nora,935472
Norberg,307885
Nordanstig,935645
Nordmaling,935647
Norrköping,935447
Norrtälje,397159
Norsjö,935593
Nybro,935475
Nykvarn,935473
Nyköping,935516
Nynäshamn,398627
Nässjö,935670
Ockelbo,278632
Olofström,935603
Orsa,290048
Orust,935532
Osby,935492
Oskarshamn,935653
Ovanåker,368254
Oxelösund,935524
Pajala,935573
Partille,935656
Perstorp,935530
Piteå,935490
Ragunda,935558
Robertsfors,935681
Ronneby,935527
Rättvik,300964
Sala,369508
Salem,398918
Sandviken,278633
Sigtuna,397127
Simrishamn,935529
Sjöbo,935525
Skara,935508
Skellefteå,935576
Skinnskatteberg,935423
Skurup,935437
Skövde,935485
Smedjebacken,307884
Sollefteå,935624
Sollentuna,398023
Solna,398040
Sorsele,935655
Sotenäs,935430
Staffanstorp,935502
Stenungsund,935503
Stockholm,398021
Storfors,935493
Storuman,935479
Strängnäs,398917
Strömstad,935489
Strömsund,935413
Sundbyberg,398039
Sundsvall,935497
Sunne,935627
Surahammar,935426
Svalöv,935403
Svedala,935510
Svenljunga,935586
Säffle,935597
Säter,300938
Sävsjö,935481
Söderhamn,296292
Söderköping,935556
Södertälje,398919
Sölvesborg,935608
Tanum,935640
Tibro,935650
Tidaholm,935567
Tierp,305453
Timrå,935568
Tingsryd,935578
Tjörn,1120171
Tomelilla,935671
Torsby,935682
Torsås,935512
Tranemo,935584
Tranås,935570
Trelleborg,935531
Trollhättan,935609
Trosa,935460
Tyresö,398575
Täby,397194
Töreboda,935637
Uddevalla,935644
Ulricehamn,935554
Umeå,935646
Upplands Väsby,397187
Upplands-Bro,369474
Uppsala,305455
Uppvidinge,935488
Vadstena,935553
Vaggeryd,935581
Valdemarsvik,935443
Vallentuna,959462
Vansbro,57891
Vara,935476
Varberg,935585
Vaxholm,398036
Vellinge,935451
Vetlanda,935454
Vilhelmina,935528
Vimmerby,935546
Vindeln,935402
Vingåker,935676
Vårgårda,935441
Vänersborg,935453
Vännäs,935564
Värmdö,398649
Värnamo,935439
Västervik,935408
Västerås,935588
Växjö,935654
Ydre,935618
Ystad,935599
Åmål,935601
Ånge,935477
Åre,935429
Årjäng,935665
Åsele,935432
Åstorp,935517
Åtvidaberg,935464
Älmhult,935538
Älvdalen,935540
Älvkarleby,289344
Älvsbyn,935574
Ängelholm,935679
Öckerö,1120170
Ödeshög,935434
Örebro,935628
Örkelljunga,935449
Örnsköldsvik,935455
Östersund,935577
Österåker,398037
Östhammar,398892
Östra Göinge,935535
Överkalix,935629
Övertorneå,935620
