county,Relation,Year,Median Rent (SEK),Map Label
Stockholm county,54391,2016,96.0,Median Cost: 96 SEK
Uppsala county,54220,2016,90.0,Median Cost: 90 SEK
Södermanland county,54386,2016,81.0,Median Cost: 81 SEK
Östergötland county,940675,2016,85.0,Median Cost: 85 SEK
Jönköping county,54374,2016,76.0,Median Cost: 76 SEK
Kronoberg county,54412,2016,76.0,Median Cost: 76 SEK
Kalmar county,54417,2016,77.0,Median Cost: 77 SEK
Gotland county,941530,2016,85.0,Median Cost: 85 SEK
Blekinge county,54413,2016,83.0,Median Cost: 83 SEK
Skåne county,54409,2016,88.0,Median Cost: 88 SEK
Halland county,54403,2016,84.0,Median Cost: 84 SEK
Västra Götaland county,54367,2016,84.0,Median Cost: 84 SEK
Värmland county,54223,2016,79.0,Median Cost: 79 SEK
Örebro county,54222,2016,82.0,Median Cost: 82 SEK
Västmanland county,54221,2016,83.0,Median Cost: 83 SEK
Dalarna county,52834,2016,79.0,Median Cost: 79 SEK
Gävleborg county,52832,2016,79.0,Median Cost: 79 SEK
Västernorrland county,52827,2016,81.0,Median Cost: 81 SEK
Jämtland county,52826,2016,75.0,Median Cost: 75 SEK
Västerbotten county,52825,2016,80.0,Median Cost: 80 SEK
Norrbotten county,52824,2016,75.0,Median Cost: 75 SEK
Stockholm county,54391,2017,99.0,Median Cost: 99 SEK
Uppsala county,54220,2017,92.0,Median Cost: 92 SEK
Södermanland county,54386,2017,82.0,Median Cost: 82 SEK
Östergötland county,940675,2017,86.0,Median Cost: 86 SEK
Jönköping county,54374,2017,77.0,Median Cost: 77 SEK
Kronoberg county,54412,2017,76.0,Median Cost: 76 SEK
Kalmar county,54417,2017,77.0,Median Cost: 77 SEK
Gotland county,941530,2017,87.0,Median Cost: 87 SEK
Blekinge county,54413,2017,83.0,Median Cost: 83 SEK
Skåne county,54409,2017,90.0,Median Cost: 90 SEK
Halland county,54403,2017,84.0,Median Cost: 84 SEK
Västra Götaland county,54367,2017,86.0,Median Cost: 86 SEK
Värmland county,54223,2017,80.0,Median Cost: 80 SEK
Örebro county,54222,2017,83.0,Median Cost: 83 SEK
Västmanland county,54221,2017,84.0,Median Cost: 84 SEK
Dalarna county,52834,2017,80.0,Median Cost: 80 SEK
Gävleborg county,52832,2017,80.0,Median Cost: 80 SEK
Västernorrland county,52827,2017,81.0,Median Cost: 81 SEK
Jämtland county,52826,2017,77.0,Median Cost: 77 SEK
Västerbotten county,52825,2017,80.0,Median Cost: 80 SEK
Norrbotten county,52824,2017,76.0,Median Cost: 76 SEK
Stockholm county,54391,2018,101.0,Median Cost: 101 SEK
Uppsala county,54220,2018,93.0,Median Cost: 93 SEK
Södermanland county,54386,2018,85.0,Median Cost: 85 SEK
Östergötland county,940675,2018,87.0,Median Cost: 87 SEK
Jönköping county,54374,2018,79.0,Median Cost: 79 SEK
Kronoberg county,54412,2018,77.0,Median Cost: 77 SEK
Kalmar county,54417,2018,79.0,Median Cost: 79 SEK
Gotland county,941530,2018,88.0,Median Cost: 88 SEK
Blekinge county,54413,2018,84.0,Median Cost: 84 SEK
Skåne county,54409,2018,92.0,Median Cost: 92 SEK
Halland county,54403,2018,87.0,Median Cost: 87 SEK
Västra Götaland county,54367,2018,88.0,Median Cost: 88 SEK
Värmland county,54223,2018,81.0,Median Cost: 81 SEK
Örebro county,54222,2018,85.0,Median Cost: 85 SEK
Västmanland county,54221,2018,86.0,Median Cost: 86 SEK
Dalarna county,52834,2018,81.0,Median Cost: 81 SEK
Gävleborg county,52832,2018,81.0,Median Cost: 81 SEK
Västernorrland county,52827,2018,82.0,Median Cost: 82 SEK
Jämtland county,52826,2018,76.0,Median Cost: 76 SEK
Västerbotten county,52825,2018,82.0,Median Cost: 82 SEK
Norrbotten county,52824,2018,78.0,Median Cost: 78 SEK
Stockholm county,54391,2019,104.0,Median Cost: 104 SEK
Uppsala county,54220,2019,96.0,Median Cost: 96 SEK
Södermanland county,54386,2019,88.0,Median Cost: 88 SEK
