county,Relation,Year,Median Rent (SEK),Map Label
Stockholm county,54391,2016,1150.0,Median Cost: 1150 SEK
Uppsala county,54220,2016,1083.0,Median Cost: 1083 SEK
Södermanland county,54386,2016,973.0,Median Cost: 973 SEK
Östergötland county,940675,2016,1013.0,Median Cost: 1013 SEK
Jönköping county,54374,2016,909.0,Median Cost: 909 SEK
Kronoberg county,54412,2016,911.0,Median Cost: 911 SEK
Kalmar county,54417,2016,921.0,Median Cost: 921 SEK
Gotland county,941530,2016,1021.0,Median Cost: 1021 SEK
Blekinge county,54413,2016,997.0,Median Cost: 997 SEK
Skåne county,54409,2016,1055.0,Median Cost: 1055 SEK
Halland county,54403,2016,1004.0,Median Cost: 1004 SEK
Västra Götaland county,54367,2016,1002.0,Median Cost: 1002 SEK
Värmland county,54223,2016,951.0,Median Cost: 951 SEK
Örebro county,54222,2016,987.0,Median Cost: 987 SEK
Västmanland county,54221,2016,984.0,Median Cost: 984 SEK
Dalarna county,52834,2016,952.0,Median Cost: 952 SEK
Gävleborg county,52832,2016,944.0,Median Cost: 944 SEK
Västernorrland county,52827,2016,968.0,Median Cost: 968 SEK
Jämtland county,52826,2016,899.0,Median Cost: 899 SEK
Västerbotten county,52825,2016,954.0,Median Cost: 954 SEK
Norrbotten county,52824,2016,895.0,Median Cost: 895 SEK
Stockholm county,54391,2017,1190.0,Median Cost: 1190 SEK
Uppsala county,54220,2017,1099.0,Median Cost: 1099 SEK
Södermanland county,54386,2017,985.0,Median Cost: 985 SEK
Östergötland county,940675,2017,1032.0,Median Cost: 1032 SEK
Jönköping county,54374,2017,924.0,Median Cost: 924 SEK
Kronoberg county,54412,2017,912.0,Median Cost: 912 SEK
Kalmar county,54417,2017,925.0,Median Cost: 925 SEK
Gotland county,941530,2017,1049.0,Median Cost: 1049 SEK
Blekinge county,54413,2017,998.0,Median Cost: 998 SEK
Skåne county,54409,2017,1072.0,Median Cost: 1072 SEK
Halland county,54403,2017,1007.0,Median Cost: 1007 SEK
Västra Götaland county,54367,2017,1030.0,Median Cost: 1030 SEK
