kommun,Relation,Year,Median Rent (SEK),Map Label
Upplands Väsby,397187,2016,0.0,Missing Data
Vallentuna,959462,2016,1057.0,Median Cost: 1057 SEK
Österåker,398037,2016,1105.0,Median Cost: 1105 SEK
Värmdö,398649,2016,1052.0,Median Cost: 1052 SEK
Järfälla,398022,2016,1032.0,Median Cost: 1032 SEK
Ekerö,398920,2016,1118.0,Median Cost: 1118 SEK
Huddinge,398567,2016,1031.0,Median Cost: 1031 SEK
Botkyrka,398626,2016,954.0,Median Cost: 954 SEK
Salem,398918,2016,0.0,Missing Data
Haninge,398625,2016,0.0,Missing Data
Tyresö,398575,2016,1084.0,Median Cost: 1084 SEK
Upplands-Bro,369474,2016,1044.0,Median Cost: 1044 SEK
Nykvarn,935473,2016,1151.0,Median Cost: 1151 SEK
Täby,397194,2016,0.0,Missing Data
Danderyd,398034,2016,0.0,Missing Data
Sollentuna,398023,2016,1191.0,Median Cost: 1191 SEK
Stockholm,398021,2016,1233.0,Median Cost: 1233 SEK
Södertälje,398919,2016,1052.0,Median Cost: 1052 SEK
Nacka,398038,2016,1237.0,Median Cost: 1237 SEK
Sundbyberg,398039,2016,1142.0,Median Cost: 1142 SEK
Solna,398040,2016,1256.0,Median Cost: 1256 SEK
Lidingö,398035,2016,1116.0,Median Cost: 1116 SEK
Vaxholm,398036,2016,1277.0,Median Cost: 1277 SEK
Norrtälje,397159,2016,1199.0,Median Cost: 1199 SEK
Sigtuna,397127,2016,1063.0,Median Cost: 1063 SEK
Nynäshamn,398627,2016,1087.0,Median Cost: 1087 SEK
Håbo,308558,2016,1109.0,Median Cost: 1109 SEK
Älvkarleby,289344,2016,956.0,Median Cost: 956 SEK
Knivsta,397128,2016,1043.0,Median Cost: 1043 SEK
Heby,305452,2016,945.0,Median Cost: 945 SEK
Tierp,305453,2016,1026.0,Median Cost: 1026 SEK
Uppsala,305455,2016,1114.0,Median Cost: 1114 SEK
Enköping,308557,2016,1055.0,Median Cost: 1055 SEK
Östhammar,398892,2016,981.0,Median Cost: 981 SEK
Vingåker,935676,2016,973.0,Median Cost: 973 SEK
Gnesta,935602,2016,1003.0,Median Cost: 1003 SEK
Nyköping,935516,2016,976.0,Median Cost: 976 SEK
Oxelösund,935524,2016,943.0,Median Cost: 943 SEK
Flen,935683,2016,877.0,Median Cost: 877 SEK
Katrineholm,935400,2016,976.0,Median Cost: 976 SEK
Eskilstuna,935569,2016,957.0,Median Cost: 957 SEK
Strängnäs,398917,2016,1018.0,Median Cost: 1018 SEK
Trosa,935460,2016,0.0,Missing Data
Ödeshög,935434,2016,820.0,Median Cost: 820 SEK
Ydre,935618,2016,869.0,Median Cost: 869 SEK
Kinda,935596,2016,893.0,Median Cost: 893 SEK
Boxholm,935594,2016,794.0,Median Cost: 794 SEK
Åtvidaberg,935464,2016,889.0,Median Cost: 889 SEK
Finspång,935444,2016,922.0,Median Cost: 922 SEK
Valdemarsvik,935443,2016,895.0,Median Cost: 895 SEK
Linköping,935467,2016,1078.0,Median Cost: 1078 SEK
Norrköping,935447,2016,1050.0,Median Cost: 1050 SEK
Söderköping,935556,2016,949.0,Median Cost: 949 SEK
Motala,935668,2016,897.0,Median Cost: 897 SEK
Vadstena,935553,2016,0.0,Missing Data
Mjölby,935507,2016,921.0,Median Cost: 921 SEK
Aneby,935684,2016,0.0,Missing Data
Gnosjö,935543,2016,894.0,Median Cost: 894 SEK
Mullsjö,935634,2016,862.0,Median Cost: 862 SEK
Habo,935405,2016,954.0,Median Cost: 954 SEK
Gislaved,935604,2016,0.0,Missing Data
Vaggeryd,935581,2016,944.0,Median Cost: 944 SEK
Jönköping,935495,2016,927.0,Median Cost: 927 SEK
Nässjö,935670,2016,910.0,Median Cost: 910 SEK
Värnamo,935439,2016,922.0,Median Cost: 922 SEK
Sävsjö,935481,2016,850.0,Median Cost: 850 SEK
Vetlanda,935454,2016,900.0,Median Cost: 900 SEK
Eksjö,935636,2016,889.0,Median Cost: 889 SEK
Tranås,935570,2016,887.0,Median Cost: 887 SEK
Uppvidinge,935488,2016,844.0,Median Cost: 844 SEK
Lessebo,935521,2016,889.0,Median Cost: 889 SEK
Tingsryd,935578,2016,864.0,Median Cost: 864 SEK
Alvesta,935435,2016,889.0,Median Cost: 889 SEK
Älmhult,935538,2016,873.0,Median Cost: 873 SEK
Markaryd,935621,2016,888.0,Median Cost: 888 SEK
Växjö,935654,2016,934.0,Median Cost: 934 SEK
Ljungby,935542,2016,869.0,Median Cost: 869 SEK
Högsby,935487,2016,857.0,Median Cost: 857 SEK
Torsås,935512,2016,882.0,Median Cost: 882 SEK
Mörbylånga,935518,2016,1013.0,Median Cost: 1013 SEK
Hultsfred,935677,2016,793.0,Median Cost: 793 SEK
Mönsterås,935575,2016,923.0,Median Cost: 923 SEK
Emmaboda,935598,2016,797.0,Median Cost: 797 SEK
Kalmar,935466,2016,1018.0,Median Cost: 1018 SEK
Nybro,935475,2016,777.0,Median Cost: 777 SEK
Oskarshamn,935653,2016,934.0,Median Cost: 934 SEK
Västervik,935408,2016,852.0,Median Cost: 852 SEK
Vimmerby,935546,2016,875.0,Median Cost: 875 SEK
Borgholm,935406,2016,953.0,Median Cost: 953 SEK
Gotland,1125739,2016,1021.0,Median Cost: 1021 SEK
Olofström,935603,2016,845.0,Median Cost: 845 SEK
Karlskrona,935548,2016,1042.0,Median Cost: 1042 SEK
Ronneby,935527,2016,896.0,Median Cost: 896 SEK
Karlshamn,935522,2016,961.0,Median Cost: 961 SEK
Sölvesborg,935608,2016,0.0,Missing Data
Svalöv,935403,2016,973.0,Median Cost: 973 SEK
Staffanstorp,935502,2016,0.0,Missing Data
Burlöv,935642,2016,982.0,Median Cost: 982 SEK
Vellinge,935451,2016,1038.0,Median Cost: 1038 SEK
Östra Göinge,935535,2016,876.0,Median Cost: 876 SEK
Örkelljunga,935449,2016,902.0,Median Cost: 902 SEK
Bjuv,935478,2016,974.0,Median Cost: 974 SEK
Kävlinge,935625,2016,944.0,Median Cost: 944 SEK
Lomma,935410,2016,0.0,Missing Data
Svedala,935510,2016,944.0,Median Cost: 944 SEK
Skurup,935437,2016,981.0,Median Cost: 981 SEK
Sjöbo,935525,2016,954.0,Median Cost: 954 SEK
Hörby,935623,2016,1014.0,Median Cost: 1014 SEK
Höör,935450,2016,985.0,Median Cost: 985 SEK
Tomelilla,935671,2016,930.0,Median Cost: 930 SEK
Bromölla,935659,2016,809.0,Median Cost: 809 SEK
Osby,935492,2016,901.0,Median Cost: 901 SEK
Perstorp,935530,2016,860.0,Median Cost: 860 SEK
Klippan,935658,2016,935.0,Median Cost: 935 SEK
Åstorp,935517,2016,950.0,Median Cost: 950 SEK
Båstad,935399,2016,0.0,Missing Data
Malmö,935416,2016,1146.0,Median Cost: 1146 SEK
Lund,935666,2016,1087.0,Median Cost: 1087 SEK
Landskrona,935414,2016,1043.0,Median Cost: 1043 SEK
Helsingborg,935560,2016,1069.0,Median Cost: 1069 SEK
Höganäs,935552,2016,1038.0,Median Cost: 1038 SEK
Eslöv,935571,2016,1065.0,Median Cost: 1065 SEK
Ystad,935599,2016,0.0,Missing Data
Trelleborg,935531,2016,952.0,Median Cost: 952 SEK
Kristianstad,935448,2016,975.0,Median Cost: 975 SEK
Simrishamn,935529,2016,1005.0,Median Cost: 1005 SEK
Ängelholm,935679,2016,995.0,Median Cost: 995 SEK
Hässleholm,935519,2016,841.0,Median Cost: 841 SEK
Hylte,935407,2016,947.0,Median Cost: 947 SEK
Halmstad,935442,2016,1046.0,Median Cost: 1046 SEK
Laholm,935662,2016,985.0,Median Cost: 985 SEK
Falkenberg,935411,2016,958.0,Median Cost: 958 SEK
Varberg,935585,2016,919.0,Median Cost: 919 SEK
Kungsbacka,935626,2016,1057.0,Median Cost: 1057 SEK
Härryda,935649,2016,996.0,Median Cost: 996 SEK
Partille,935656,2016,948.0,Median Cost: 948 SEK
Öckerö,1120170,2016,941.0,Median Cost: 941 SEK
Stenungsund,935503,2016,1084.0,Median Cost: 1084 SEK
Tjörn,1120171,2016,1061.0,Median Cost: 1061 SEK
Orust,935532,2016,986.0,Median Cost: 986 SEK
Sotenäs,935430,2016,1017.0,Median Cost: 1017 SEK
Munkedal,935678,2016,928.0,Median Cost: 928 SEK
Tanum,935640,2016,1064.0,Median Cost: 1064 SEK
Dals-Ed,935404,2016,934.0,Median Cost: 934 SEK
Färgelanda,935431,2016,894.0,Median Cost: 894 SEK
Ale,935506,2016,972.0,Median Cost: 972 SEK
Lerum,935550,2016,1048.0,Median Cost: 1048 SEK
Vårgårda,935441,2016,883.0,Median Cost: 883 SEK
Bollebygd,935565,2016,1154.0,Median Cost: 1154 SEK
Grästorp,935415,2016,801.0,Median Cost: 801 SEK
Essunga,935417,2016,847.0,Median Cost: 847 SEK
Karlsborg,935617,2016,882.0,Median Cost: 882 SEK
Gullspång,935470,2016,0.0,Missing Data
Tranemo,935584,2016,870.0,Median Cost: 870 SEK
Bengtsfors,935491,2016,868.0,Median Cost: 868 SEK
